name,in_usd,created_at,updated_at
AED,3.67295,10/20/15 10:07,10/20/15 10:07
AFN,64.5,10/20/15 10:07,10/20/15 10:07
ALL,122.9481,10/20/15 10:07,10/20/15 10:07
AMD,472.802498,10/20/15 10:07,10/20/15 10:07
ANG,1.78875,10/20/15 10:07,10/20/15 10:07
AOA,135.743669,10/20/15 10:07,10/20/15 10:07
ARS,9.49562,10/20/15 10:07,10/20/15 10:07
AUD,1.373747,10/20/15 10:07,10/20/15 10:07
AWG,1.793333,10/20/15 10:07,10/20/15 10:07
AZN,1.047625,10/20/15 10:07,10/20/15 10:07
BAM,1.721559,10/20/15 10:07,10/20/15 10:07
BBD,2,10/20/15 10:07,10/20/15 10:07
BDT,77.80769,10/20/15 10:07,10/20/15 10:07
BGN,1.72106,10/20/15 10:07,10/20/15 10:07
BHD,0.377243,10/20/15 10:07,10/20/15 10:07
BIF,1564.747525,10/20/15 10:07,10/20/15 10:07
BMD,1,10/20/15 10:07,10/20/15 10:07
BND,1.387019,10/20/15 10:07,10/20/15 10:07
BOB,6.908571,10/20/15 10:07,10/20/15 10:07
BRL,3.881028,10/20/15 10:07,10/20/15 10:07
BSD,1,10/20/15 10:07,10/20/15 10:07
BTC,0.003734258,10/20/15 10:07,10/20/15 10:07
BTN,64.968282,10/20/15 10:07,10/20/15 10:07
BWP,10.268188,10/20/15 10:07,10/20/15 10:07
BYR,17199.3,10/20/15 10:07,10/20/15 10:07
BZD,1.994493,10/20/15 10:07,10/20/15 10:07
CAD,1.297263,10/20/15 10:07,10/20/15 10:07
CDF,927.6705,10/20/15 10:07,10/20/15 10:07
CHF,0.952781,10/20/15 10:07,10/20/15 10:07
CLF,0.024602,10/20/15 10:07,10/20/15 10:07
CLP,683.594297,10/20/15 10:07,10/20/15 10:07
CNY,6.351268,10/20/15 10:07,10/20/15 10:07
COP,2917.1,10/20/15 10:07,10/20/15 10:07
CRC,533.3354,10/20/15 10:07,10/20/15 10:07
CUC,1,10/20/15 10:07,10/20/15 10:07
CUP,1,10/20/15 10:07,10/20/15 10:07
CVE,97.09450734,10/20/15 10:07,10/20/15 10:07
CZK,23.8529,10/20/15 10:07,10/20/15 10:07
DJF,177.478749,10/20/15 10:07,10/20/15 10:07
DKK,6.569697,10/20/15 10:07,10/20/15 10:07
DOP,45.20072,10/20/15 10:07,10/20/15 10:07
DZD,105.224719,10/20/15 10:07,10/20/15 10:07
EEK,13.7797,10/20/15 10:07,10/20/15 10:07
EGP,8.023602,10/20/15 10:07,10/20/15 10:07
ERN,15.14,10/20/15 10:07,10/20/15 10:07
ETB,20.94541,10/20/15 10:07,10/20/15 10:07
EUR,0.880556,10/20/15 10:07,10/20/15 10:07
FJD,2.111,10/20/15 10:07,10/20/15 10:07
FKP,0.646102,10/20/15 10:07,10/20/15 10:07
GBP,0.646102,10/20/15 10:07,10/20/15 10:07
GEL,2.3748,10/20/15 10:07,10/20/15 10:07
GGP,0.646102,10/20/15 10:07,10/20/15 10:07
GHS,3.858003,10/20/15 10:07,10/20/15 10:07
GIP,0.646102,10/20/15 10:07,10/20/15 10:07
GMD,39.36173,10/20/15 10:07,10/20/15 10:07
GNF,7277.320049,10/20/15 10:07,10/20/15 10:07
GTQ,7.663717,10/20/15 10:07,10/20/15 10:07
GYD,206.496502,10/20/15 10:07,10/20/15 10:07
HKD,7.750084,10/20/15 10:07,10/20/15 10:07
HNL,22.0166,10/20/15 10:07,10/20/15 10:07
HRK,6.718668,10/20/15 10:07,10/20/15 10:07
HTG,53.55385,10/20/15 10:07,10/20/15 10:07
HUF,273.301502,10/20/15 10:07,10/20/15 10:07
IDR,13636.41667,10/20/15 10:07,10/20/15 10:07
ILS,3.851148,10/20/15 10:07,10/20/15 10:07
IMP,0.646102,10/20/15 10:07,10/20/15 10:07
INR,64.96788,10/20/15 10:07,10/20/15 10:07
IQD,1187.61875,10/20/15 10:07,10/20/15 10:07
IRR,29962.5,10/20/15 10:07,10/20/15 10:07
ISK,125.058001,10/20/15 10:07,10/20/15 10:07
JEP,0.646102,10/20/15 10:07,10/20/15 10:07
JMD,119.423299,10/20/15 10:07,10/20/15 10:07
JOD,0.708416,10/20/15 10:07,10/20/15 10:07
JPY,119.7005,10/20/15 10:07,10/20/15 10:07
KES,102.032199,10/20/15 10:07,10/20/15 10:07
KGS,68.8468,10/20/15 10:07,10/20/15 10:07
KHR,4051.122476,10/20/15 10:07,10/20/15 10:07
KMF,434.080329,10/20/15 10:07,10/20/15 10:07
KPW,899.91,10/20/15 10:07,10/20/15 10:07
KRW,1130.123327,10/20/15 10:07,10/20/15 10:07
KWD,0.301707,10/20/15 10:07,10/20/15 10:07
KYD,0.825505,10/20/15 10:07,10/20/15 10:07
KZT,277.305493,10/20/15 10:07,10/20/15 10:07
LAK,8132.325098,10/20/15 10:07,10/20/15 10:07
LBP,1510.316667,10/20/15 10:07,10/20/15 10:07
LKR,140.942401,10/20/15 10:07,10/20/15 10:07
LRD,84.66847,10/20/15 10:07,10/20/15 10:07
LSL,13.209263,10/20/15 10:07,10/20/15 10:07
LTL,3.02252,10/20/15 10:07,10/20/15 10:07
LVL,0.619494,10/20/15 10:07,10/20/15 10:07
LYD,1.36301,10/20/15 10:07,10/20/15 10:07
MAD,9.642763,10/20/15 10:07,10/20/15 10:07
MDL,19.77367,10/20/15 10:07,10/20/15 10:07
MGA,3063.653301,10/20/15 10:07,10/20/15 10:07
MKD,54.22236,10/20/15 10:07,10/20/15 10:07
MMK,1080.8919,10/20/15 10:07,10/20/15 10:07
MNT,1992.5,10/20/15 10:07,10/20/15 10:07
MOP,7.978901,10/20/15 10:07,10/20/15 10:07
MRO,291.449642,10/20/15 10:07,10/20/15 10:07
MTL,0.683602,10/20/15 10:07,10/20/15 10:07
MUR,35.4461,10/20/15 10:07,10/20/15 10:07
MVR,15.326117,10/20/15 10:07,10/20/15 10:07
MWK,548.883801,10/20/15 10:07,10/20/15 10:07
MXN,16.52394,10/20/15 10:07,10/20/15 10:07
MYR,4.284441,10/20/15 10:07,10/20/15 10:07
MZN,43.19,10/20/15 10:07,10/20/15 10:07
NAD,13.21271,10/20/15 10:07,10/20/15 10:07
NGN,199.090999,10/20/15 10:07,10/20/15 10:07
NIO,27.36849,10/20/15 10:07,10/20/15 10:07
NOK,8.124886,10/20/15 10:07,10/20/15 10:07
NPR,103.6489,10/20/15 10:07,10/20/15 10:07
NZD,1.469197,10/20/15 10:07,10/20/15 10:07
OMR,0.384996,10/20/15 10:07,10/20/15 10:07
PAB,1,10/20/15 10:07,10/20/15 10:07
PEN,3.239959,10/20/15 10:07,10/20/15 10:07
PGK,2.895975,10/20/15 10:07,10/20/15 10:07
PHP,46.31047,10/20/15 10:07,10/20/15 10:07
PKR,104.370799,10/20/15 10:07,10/20/15 10:07
PLN,3.743251,10/20/15 10:07,10/20/15 10:07
PYG,5660.974954,10/20/15 10:07,10/20/15 10:07
QAR,3.640219,10/20/15 10:07,10/20/15 10:07
RON,3.896444,10/20/15 10:07,10/20/15 10:07
RSD,105.511,10/20/15 10:07,10/20/15 10:07
RUB,62.09923,10/20/15 10:07,10/20/15 10:07
RWF,727.424167,10/20/15 10:07,10/20/15 10:07
SAR,3.750195,10/20/15 10:07,10/20/15 10:07
SBD,7.915946,10/20/15 10:07,10/20/15 10:07
SCR,13.081725,10/20/15 10:07,10/20/15 10:07
SDG,6.07825,10/20/15 10:07,10/20/15 10:07
SEK,8.291377,10/20/15 10:07,10/20/15 10:07
SGD,1.389189,10/20/15 10:07,10/20/15 10:07
SHP,0.646102,10/20/15 10:07,10/20/15 10:07
SLL,3744.6255,10/20/15 10:07,10/20/15 10:07
SOS,640.553744,10/20/15 10:07,10/20/15 10:07
SRD,3.2875,10/20/15 10:07,10/20/15 10:07
STD,21555.975,10/20/15 10:07,10/20/15 10:07
SVC,8.741621,10/20/15 10:07,10/20/15 10:07
SYP,188.787998,10/20/15 10:07,10/20/15 10:07
SZL,13.21361,10/20/15 10:07,10/20/15 10:07
THB,35.42645,10/20/15 10:07,10/20/15 10:07
TJS,6.56,10/20/15 10:07,10/20/15 10:07
TMT,3.501267,10/20/15 10:07,10/20/15 10:07
TND,1.952028,10/20/15 10:07,10/20/15 10:07
TOP,2.228033,10/20/15 10:07,10/20/15 10:07
TRY,2.893992,10/20/15 10:07,10/20/15 10:07
TTD,6.328677,10/20/15 10:07,10/20/15 10:07
TWD,32.3791,10/20/15 10:07,10/20/15 10:07
TZS,2206.851634,10/20/15 10:07,10/20/15 10:07
UAH,21.95819,10/20/15 10:07,10/20/15 10:07
UGX,3613.43,10/20/15 10:07,10/20/15 10:07
USD,1,10/20/15 10:07,10/20/15 10:07
UYU,29.3781,10/20/15 10:07,10/20/15 10:07
UZS,2654.224976,10/20/15 10:07,10/20/15 10:07
VEF,6.320756,10/20/15 10:07,10/20/15 10:07
VND,22307.68333,10/20/15 10:07,10/20/15 10:07
VUV,111.271251,10/20/15 10:07,10/20/15 10:07
WST,2.546946,10/20/15 10:07,10/20/15 10:07
XAF,578.180344,10/20/15 10:07,10/20/15 10:07
XAG,0.0631125,10/20/15 10:07,10/20/15 10:07
XAU,0.00085,10/20/15 10:07,10/20/15 10:07
XCD,2.70102,10/20/15 10:07,10/20/15 10:07
XDR,0.707178,10/20/15 10:07,10/20/15 10:07
XOF,578.676844,10/20/15 10:07,10/20/15 10:07
XPD,0.001454,10/20/15 10:07,10/20/15 10:07
XPF,105.012663,10/20/15 10:07,10/20/15 10:07
XPT,0.000987,10/20/15 10:07,10/20/15 10:07
YER,215.1637,10/20/15 10:07,10/20/15 10:07
ZAR,13.23528,10/20/15 10:07,10/20/15 10:07
ZMK,5252.024745,10/20/15 10:07,10/20/15 10:07
ZMW,11.999275,10/20/15 10:07,10/20/15 10:07
ZWL,322.387247,10/20/15 10:07,10/20/15 10:07